position,channelId,channelTitle,videoId,publishedAt,publishedAtSQL,videoTitle,videoDescription,tags,videoCategoryId,videoCategoryLabel,topicCategories,duration,durationSec,dimension,definition,caption,defaultLanguage,defaultLAudioLanguage,thumbnail_maxres,licensedContent,locationDescription,latitude,longitude,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
11,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",E-bXdlyfGFE,2025-04-15T21:25:38Z,"2025-04-15 21:25:38","From Patient Transporter to Chief Nursing Officer: A Journey of Growth & Opportunity at UCLA","In this powerful interview, the Chief Nursing Officer Coleen W., shares her incredible career journey at UCLA Health. She started as a transporter, became an ICU new grad nurse, then advanced through leadership roles—including assistant director, interim unit director, senior director of adult inpatient nursing, and now CNO. Her story is a true testament to the opportunities available at this UCLA, where she says, “the world is your oyster.” #HealthcareLeadership #UCLACareers #HealthcareCareers",,28,"Science & Technology","Health,Society",PT1M8S,68,2d,hd,false,,en-US,,,,,,77,0,,0,
12,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",vky0__X-tLc,2025-04-15T21:23:31Z,"2025-04-15 21:23:31","From Patient Transporter to Chief Nursing Officer: A Journey of Growth & Opportunity at UCLA #shorts","In this powerful interview, Chief Nursing Officer Coleen W., shares her incredible career journey at UCLA Health. She started as a transporter, became an ICU new grad nurse, then advanced through leadership roles—including assistant director, interim unit director, senior director of adult inpatient nursing, and now CNO. Her story is a true testament to the opportunities available at this UCLA, where she says, “the world is your oyster.” #HealthcareLeadership #UCLACareers #HealthcareCareers",,28,"Science & Technology","Health,Knowledge",PT1M8S,68,2d,hd,false,,en-US,https://i.ytimg.com/vi/vky0__X-tLc/maxresdefault.jpg,,,,,307,1,,0,
13,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",gpLQoncKFnA,2025-04-15T21:16:06Z,"2025-04-15 21:16:06","Building Strong Teams: The Supportive Environment At UCLA Health","In this interview, Regional Director of Operations, Lariza J., shares how she fosters a supportive and empowering environment for her team at UCLA. Her goal is to ensure that every team member feels valued and supported in their growth. She believes that being surrounded by strong people makes you stronger—and that’s why building a strong, collaborative team is key. Through encouragement, ownership, and celebrating wins together, she helps create a culture where everyone can thrive. #CareerGrowth #UCLAHealhCareers #HealthcareLeadership",,28,"Science & Technology","Health,Society",PT52S,52,2d,hd,false,,en-US,,,,,,31,0,,0,
14,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",xL2lW9QBWTg,2025-04-15T21:12:36Z,"2025-04-15 21:12:36","Building Strong Teams: The Supportive Environment At UCLA Health","In this interview, Regional Director of Operations, Lariza J., shares how she fosters a supportive and empowering environment for her team at UCLA. Her goal is to ensure that every team member feels valued and supported in their growth. She believes that being surrounded by strong people makes you stronger—and that’s why building a strong, collaborative team is key. Through encouragement, ownership, and celebrating wins together, she helps create a culture where everyone can thrive. #CareerGrowth #UCLAHealhCareers #HealthcareLeadership",,28,"Science & Technology",Health,PT52S,52,2d,hd,false,,en-US,https://i.ytimg.com/vi/xL2lW9QBWTg/maxresdefault.jpg,,,,,168,0,,0,
15,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",DfErm836N3w,2025-04-15T21:10:34Z,"2025-04-15 21:10:34","""We're Like a Family"" — How UCLA Supports My Nursing Career","In this warm and honest interview, Juan V., a Clinical Nurse II, shares how supported he feels in his career at UCLA Health. Describing the team as a true family, he explains how there's always someone ready to lend a helping hand. From tough shifts to everyday challenges, a strong sense of teamwork and support makes all the difference. #NursingCareer #NursingSupport #UCLAHealthCareers",,28,"Science & Technology","Health,Knowledge",PT46S,46,2d,hd,false,,en-US,,,,,,58,0,,0,
16,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",t77Q3rjiZIQ,2025-04-15T21:07:16Z,"2025-04-15 21:07:16","""We're Like a Family"" — How UCLA Supports Juan's Nursing Career #shorts","In this warm and honest interview, Juan V., a Clinical Nurse II, shares how supported he feels in his career at UCLA Health. Describing the team as a true family, he explains how there's always someone ready to lend a helping hand. From tough shifts to everyday challenges, a strong sense of teamwork and support makes all the difference. #NursingCareer #NursingSupport #UCLAHealthCareers",,28,"Science & Technology",Health,PT46S,46,2d,hd,false,,en-US,https://i.ytimg.com/vi/t77Q3rjiZIQ/maxresdefault.jpg,,,,,222,2,,0,
17,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",cuQyOQrmV50,2025-04-15T20:55:12Z,"2025-04-15 20:55:12","Nursing Chose Me: A Senior LVN's Career Journey","In this heartfelt interview, Talia G., a Senior LVN (licensed vocational nurse), shares how her nursing career began—unexpectedly! She never planned on becoming a nurse, but with a little encouragement from a friend, she decided to give it a shot. The moment she started, she fell in love with the profession. Now, after years at UCLA Health, she knows this is exactly where she’s meant to be. Discover your passion at UCLA! https://bit.ly/3YJQMeP #NursingJourney #CareerPath #HealthcareHeroes",,28,"Science & Technology","Health,Knowledge",PT48S,48,2d,hd,false,,en-US,,,,,,42,0,,0,
18,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",ThCE58-4mJ8,2025-04-15T20:52:37Z,"2025-04-15 20:52:37","24 Years of Growth: Chuck's Nursing Journey at UCLA Health","Chuck D. shares his incredible 24-year journey with UCLA. Starting as a traveling nurse in California back in 2000, he quickly found a home within the organization and never looked back. From working on the floor to assisting in management and now serving as a break relief nurse, he has embraced every opportunity for growth. He credits his career success to the unwavering encouragement and support of UCLA Health. https://bit.ly/3YJQMeP #NursingCareer #CareerGrowth #UCLAHealthCareers",,28,"Science & Technology","Health,Society",PT49S,49,2d,hd,false,,en-US,,,,,,94,3,,0,
19,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",Dzh4Zzo4u_k,2025-04-15T20:42:06Z,"2025-04-15 20:42:06","A Physician Leader's Journey: How UCLA Fuels Career Growth","In this interview, Dr. Shadi M., an assistant medical director, shares how UCLA has supported her career development. From taking on administrative and leadership roles to becoming the Immediate Care Lead Physician, she discusses her journey and the opportunities that have helped her grow. Over the past year, she has expanded her leadership experience, proving that the organization truly invests in its people. https://bit.ly/3YJQMeP #UCLAHealth #CareerGrowth #HealthcareLeadership",,28,"Science & Technology","Health,Society",PT31S,31,2d,hd,false,,en-US,https://i.ytimg.com/vi/Dzh4Zzo4u_k/maxresdefault.jpg,,"UCLA Health Century City",34.0583329,-118.4174319,70,2,,0,0
20,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",HOGkV6YKTuM,2025-04-15T20:37:32Z,"2025-04-15 20:37:32","Advancing My Nursing Career: Support & Growth at UCLA Health","Juan V. shares how working at UCLA Health has helped him advance his nursing career. With plenty of growth opportunities, classes, and resources, the organization provides the support nurses need to succeed. As a CN II applying to become a CN III, he explains how management and experienced CN IIIs have guided him every step of the way. #NursingCareers https://bit.ly/3YJQMeP #CareerGrowth #SupportiveWorkplace",,28,"Science & Technology","Health,Knowledge",PT36S,36,2d,hd,false,,en-US,,,"Ronald Reagan UCLA Medical Center",34.066399,-118.446351,65,2,,0,
21,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",4OccKJ7cFGY,2025-03-27T19:04:28Z,"2025-03-27 19:04:28","A Conversation with Katie Couric About Colorectal Cancer","Dr. Eve Glazier sits down with legendary journalist, best-selling author and passionate health advocate Katie Couric, during Colorectal Cancer Awareness Month. Their vibrant, honest and moving discussion covers everything from the importance of cancer screenings to advocacy to the latest stats and studies. They also share personal stories, tips and takeaways for a healthy life, and explain why we all need to be paying attention to preventive health screening guidelines. 🎧 Watch the full episode on YouTube: https://www.youtube.com/watch?v=PfTyvgnFY5I",,28,"Science & Technology","Health,Society",PT29S,29,2d,hd,false,,en-US,https://i.ytimg.com/vi/4OccKJ7cFGY/maxresdefault.jpg,,,,,287,6,,0,
22,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",PfTyvgnFY5I,2025-03-27T18:42:21Z,"2025-03-27 18:42:21","A Conversation with Katie Couric About Colorectal Cancer","Dr. Eve Glazier sits down with legendary journalist, best-selling author and passionate health advocate Katie Couric, during Colorectal Cancer Awareness Month. Their vibrant, honest and moving discussion covers everything from the importance of cancer screenings to advocacy to the latest stats and studies. They also share personal stories, tips and takeaways for a healthy life, and explain why we all need to be paying attention to preventive health screening guidelines.","Dr. Eve Glazier,Katie Couric",28,"Science & Technology","Health,Knowledge",PT1H3M11S,191,2d,hd,false,,en-US,https://i.ytimg.com/vi/PfTyvgnFY5I/maxresdefault.jpg,,,,,3051,35,,0,
23,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",Jze4rxbhAjo,2025-03-26T18:41:37Z,"2025-03-26 18:41:37","Mario C. Deng, MD | Heart Failure and Transplantation Cardiology | UCLA Health Cardiovascular Center",,,28,"Science & Technology","Health,Knowledge",PT2M11S,131,2d,hd,false,,en-US,https://i.ytimg.com/vi/Jze4rxbhAjo/maxresdefault.jpg,,,,,305,7,,0,
24,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",X00CYtknJmg,2025-03-18T17:15:59Z,"2025-03-18 17:15:59","Helen donates blood for the first time as a Childhood Cancer Survivor","From recipient to donor, Helen shows the power of generosity with her first blood donation at Ackerman Union after beating cancer as a child.💙💛 Watch as she shares her journey, and join her in saving lives! Book to donate today: https://www.uclahealth.org/programs/gotblood",,28,"Science & Technology",Health,PT58S,58,2d,hd,false,,en-US,https://i.ytimg.com/vi/X00CYtknJmg/maxresdefault.jpg,,,,,616,16,,0,
25,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",idXYZ6zepxw,2025-03-17T18:09:15Z,"2025-03-17 18:09:15","How ophthalmologist Boris Malyugin, MD, PhD, is advancing eye surgery at UCLA Health","Meet Boris Malyugin, MD, PhD, a leading ophthalmologist at UCLA Health’s Stein Eye Institute. As a cataract and corneal specialist, Dr. Malyugin treats complex eye conditions, including dislocated lenses, high refractive errors, and corneal diseases such as keratoconus and Fuchs' corneal dystrophy. In this video, Dr. Malyugin shares his passion for ophthalmology, the intersection of science and surgery, and his groundbreaking contributions to the field — including designing the Malyugin Ring, a globally-used device for pupil expansion during eye surgery. Discover how Dr. Malyugin’s dedication to both technology and personalized patient care is transforming lives. Explore more: • UCLA Health Stein Eye Institute: https://www.uclahealth.org/locations/ucla-stein-eye-institute • Cataract surgery at UCLA Health: https://www.uclahealth.org/medical-services/ophthalmology/cataract #Ophthalmology #EyeSurgery #CataractSurgery #UCLAHealth #VisionCare #CornealTransplant",,28,"Science & Technology","Health,Knowledge",PT2M,120,2d,hd,false,,en-US,https://i.ytimg.com/vi/idXYZ6zepxw/maxresdefault.jpg,,,,,471,10,,0,
26,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",4_tQy09RJD4,2025-03-17T18:08:44Z,"2025-03-17 18:08:44","Managing complex cataract surgery: Advanced strategies and techniques","In this webinar, Boris Malyugin, MD, PhD, a world-renowned ophthalmologist at UCLA Health’s Stein Eye Institute, explores the challenges and advanced techniques used in complicated cataract surgery. Dr. Malyugin shares expert insights into modern cataract surgery technologies and how specialized techniques can improve outcomes for even the most difficult cases. This presentation covers: • The evolution of cataract surgery and intraocular lens (IOL) technology • Common complex cataract cases, including dense cataracts, small pupils, traumatic cataracts and weak zonules • The latest surgical solutions for managing challenging scenarios • The importance of preoperative planning and advanced surgical tools Learn more about cutting-edge ophthalmology advancements and how UCLA Health is leading the way in eye care: • UCLA Health Stein Eye Institute: https://www.uclahealth.org/locations/ucla-stein-eye-institute • Cataract surgery at UCLA Health: https://www.uclahealth.org/medical-services/ophthalmology/cataract",,28,"Science & Technology","Health,Knowledge",PT12M24S,744,2d,hd,false,,en-US,https://i.ytimg.com/vi/4_tQy09RJD4/maxresdefault.jpg,,,,,226,7,,0,
27,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",kdu1eISk3cA,2025-03-05T18:23:48Z,"2025-03-05 18:23:48","Revolutionizing AML treatment: The future of iNKT cell therapy | UCLA Health","Standard treatments for acute myelogenous leukemia (AML) offer only a 30% survival rate at five years — an unacceptable statistic. But at UCLA Health, oncologist Caspian Oliai, MD and his team are pioneering a groundbreaking alternative: Chimeric antigen receptor iNKT cell therapy. This innovative immunotherapy harnesses a healthy donor's immune system to fight leukemia, offering a more effective, off-the-shelf solution compared to traditional CAR T-cell therapy. With multiple mechanisms of action and the ability to be administered immediately, iNKT cell therapy could dramatically improve survival rates while reducing costs and eliminating the need for chemotherapy. Backed by research published in leading scientific journals and supported by the state of California, UCLA Health is now ready to launch a clinical trial — but we need your support. Join us in making history by funding a life-changing therapy that could transform AML treatment for patients worldwide. To learn more or to make a donation, visit: uclahealth.org/cancer/oliai-cure-leukemia #LeukemiaTreatment #CancerResearch #UCLAHealth #iNKTCellTherapy #AML","LeukemiaTreatment,CancerResearch,UCLAHealth,iNKTCellTherapy,AML",28,"Science & Technology","Health,Knowledge",PT3M51S,231,2d,hd,false,,en-US,https://i.ytimg.com/vi/kdu1eISk3cA/maxresdefault.jpg,,,,,476,11,,0,
28,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",oGtp_MVfv3w,2025-02-26T19:29:12Z,"2025-02-26 19:29:12","Improving outcomes in obstructive sleep apnea surgery | UCLA Health","In this webinar, UCLA Health sleep medicine experts dive into improving outcomes in obstructive sleep apnea (OSA) surgery. They highlight the latest advancements and research that can guide better treatment options for patients. Key points covered in this video include: • Understanding the mechanisms of OSA and its impact on health • Surgical evaluation for OSA and the role of neurostimulation • DISE (Drug-Induced Sleep Endoscopy) findings and their influence on surgical outcomes • The latest on Inspire Upper Airway Stimulation and its long-term results • Endotypic traits and how they affect treatment responses We also explore recent findings on how palate shape and airway obstruction sites can influence the success of surgery, as well as the effectiveness of advanced therapies like Inspire for those who need more than traditional CPAP therapy. Want to learn more? Visit our website for more information on OSA treatment options: uclahealth.org/departments/head-neck-surgery/clinical-services/sleep-surgery #SleepApnea #OSA #SleepSurgery #Neurostimulation #InspireTherapy #UCLAHealth",,28,"Science & Technology","Health,Knowledge",PT39M39S,2379,2d,hd,false,,en-US,https://i.ytimg.com/vi/oGtp_MVfv3w/maxresdefault.jpg,,,,,460,9,,0,
29,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",ZTCnG0F7XrI,2025-02-26T19:28:37Z,"2025-02-26 19:28:37","Surgical evaluation and treatment of obstructive sleep apnea | UCLA Health","This webinar covers essential insights into the surgical evaluation and treatment of obstructive sleep apnea (OSA), including how anatomic evaluations, DISE findings and surgical options can lead to better patient outcomes. With the goal of improving AHI and patient symptoms, this presentation emphasizes the value of a thorough anatomic evaluation to guide treatment decisions. The webinar also highlights the importance of personalized approaches, including how surgical outcomes can be enhanced based on individual anatomic traits. For more information on OSA treatment options, visit: uclahealth.org/departments/head-neck-surgery/clinical-services/sleep-surgery #SleepApnea #OSA #SleepSurgery #UpperAirwayStimulation #DISE #SleepHealth #UCLAHealth",,28,"Science & Technology","Health,Knowledge",PT41M26S,2486,2d,hd,false,,en-US,https://i.ytimg.com/vi/ZTCnG0F7XrI/maxresdefault.jpg,,,,,560,21,,0,
30,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",3ZS27HQY2W8,2025-02-26T19:27:59Z,"2025-02-26 19:27:59","Sleep apnea and snoring surgery: Advanced solutions for better sleep | UCLA Health","Struggling with obstructive sleep apnea or chronic snoring? If CPAP and other treatments haven’t worked for you, surgical options may provide lasting relief. Our internationally recognized sleep surgery team offers personalized, evidence-based solutions to improve your breathing and sleep quality. In this video, we cover: • When to consider sleep surgery for sleep apnea and snoring • How surgery targets airway obstructions in the nose, palate and tongue region • The Inspire Upper Airway Stimulation device – an FDA-approved alternative to CPAP • UCLA Health’s expertise in innovative sleep surgery techniques and research At UCLA Health, we’re committed to helping you achieve restful, healthier sleep through personalized treatment plans and the latest advancements in sleep surgery. Learn more about our sleep surgery options: uclahealth.org/departments/head-neck-surgery/clinical-services/sleep-surgery https://www.uclahealth.org/departments/head-neck-surgery/clinical-services/sleep-surgery #SleepApnea #Snoring #UCLAHealth #SleepSurgery #InspireTherapy",,28,"Science & Technology","Health,Knowledge",PT6M9S,369,2d,hd,false,,en-US,https://i.ytimg.com/vi/3ZS27HQY2W8/maxresdefault.jpg,,,,,623,8,,0,
31,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",MegeF6Bw7BM,2025-02-26T19:27:13Z,"2025-02-26 19:27:13","Sleep apnea treatment options explained | UCLA Health","Obstructive sleep apnea (OSA) affects millions of people, often going undiagnosed and untreated. If CPAP, weight loss, or oral appliances haven’t worked for you, procedural options may provide long-term relief. In this video, we discuss: • Why OSA is common and how it affects your heart, lungs and sleep quality • How sleep studies diagnose sleep apnea at home or in a sleep lab • First-line treatments like CPAP, weight loss and positional therapy • When to consider surgical procedures to target airway obstructions in the nose, tonsils, palate or tongue At UCLA Health, our sleep experts use advanced diagnostic tools and customized surgical approaches to help you breathe easier and sleep better. Learn more about your treatment options today: uclahealth.org/departments/head-neck-surgery/clinical-services/sleep-surgery https://uclahealth.org/departments/head-neck-surgery/clinical-services/sleep-surgery #SleepApnea #OSA #SleepSurgery #Snoring #UCLAHealth",,28,"Science & Technology","Health,Knowledge",PT4M8S,248,2d,hd,false,,en-US,,,,,,2620,21,,0,
32,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",CGuUui6UhJQ,2025-02-25T19:59:12Z,"2025-02-25 19:59:12","Empowering Nurses: Innovative Support Resources at UCLA Health #shorts","Stephanie C., a Clinical Nurse Manager, shares how she supports nurses on her unit by creating a calming zen room through the UPC initiative. She aslo explains a program called Pause Carts that UCLA offers to help nurses reset. Discover how these innovative resources foster a healthier work environment and help nurses recharge during their busy shifts. Explore a nursing career at UCLA Health: https://bit.ly/3YJQMeP #UCLAHealth #NurseSupport #EmpoweringNurses #HealthyWorkEnvironment",,28,"Science & Technology",Health,PT1M,60,2d,hd,false,,en-US,https://i.ytimg.com/vi/CGuUui6UhJQ/maxresdefault.jpg,,,,,87,1,,0,
33,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",OmprCpAvwQU,2025-02-25T19:56:20Z,"2025-02-25 19:56:20","Building Trust in Healthcare: A Nurse’s Passion for Patient Care and Education #shorts","In this interview, nurse Bianca M. shares what she loves most about her role in healthcare—building trust with her patients and being present for them on their journeys as an RN. She also discusses the invaluable opportunities for education, evidence-based practice, and research available at UCLA Health. Join us to hear her insights on the impact of compassionate care and continuous learning in the medical field. https://bit.ly/3YJQMeP #UCLAHealth #HealthcareCareers #NursingEducation #PatientCare",,28,"Science & Technology","Health,Lifestyle_(sociology)",PT47S,47,2d,hd,false,,en-US,https://i.ytimg.com/vi/OmprCpAvwQU/maxresdefault.jpg,,,,,85,3,,0,
34,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",7bm9jRXE9lk,2025-02-25T19:53:08Z,"2025-02-25 19:53:08","Nursing with Heart: A Nurse’s Perspective on Patient Care and SoCal Culture #shorts","Andru C., a compassionate RN at UCLA Health, shares what he loves most about his profession—being a representative for his patients and a source of support for their families. He also highlights the vibrant culture of Southern California and how it enriches his life and work through the diversity and inclusion that LA offers. Love your nursing career at UCLA Health! https://bit.ly/3YJQMeP #UCLACareers #SoCal #NursingCareers #DEI",,28,"Science & Technology","Health,Society",PT47S,47,2d,hd,false,,en-US,https://i.ytimg.com/vi/7bm9jRXE9lk/maxresdefault.jpg,,,,,74,0,,0,
35,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",vS8YRJ2HSmA,2025-02-25T18:50:38Z,"2025-02-25 18:50:38","The Power of Teamwork in Nursing: ""I'm Never Alone""","In this heartfelt interview, Casey G. shares how her close-knit team makes her a better nurse every day. No matter how tough the shift gets, she knows she’s never alone. Her team works together, supports one another, and always gets the job done—making their workplace truly special. Want to thrive in a team like this? Join us at UCLA Health! https://bit.ly/3YJQMeP #Nursing #Teamwork #HealthcareCareers",,28,"Science & Technology","Health,Knowledge",PT30S,30,2d,hd,false,,en-US,,,,,,248,14,,0,
36,UCb_JYhqnSdEejiznUm3XNqQ,"UCLA Health",Bn4F31iXj_g,2025-02-25T18:48:56Z,"2025-02-25 18:48:56","Growing Together: How Team Culture Shapes a Career in Healthcare","In this inspiring interview, Kia R., a Senior Director at UCLA Health, shares how their incredible team culture has shaped her career. She highlights how patient care is a shared responsibility—no single person can do it alone. Through teamwork across all levels, the organization fosters growth, development, and a true sense of community. https://bit.ly/3YJQMeP #Teamwork #HealthcareCareers #CareerGrowth",,28,"Science & Technology","Health,Knowledge",PT49S,49,2d,hd,false,,en-US,,,,,,71,0,,0,
