Hospital,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
Scripps Memorial Hospital – La Jolla,CABG,Early Stage Skin Cancer,6.0,328.0,2.78,As Expected,32.89,-117.22
Scripps Memorial Hospital – La Jolla,IMI,Chronic Knee Pain,4.0,186.0,1.4,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Mild Asthma,15.0,316.0,2.3,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Scoliosis,0.0,6.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Hypertension,36.0,739.0,4.8,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Osteoarthritis,8.0,755.0,0.6,Better,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,ACL Tear,5.0,250.0,1.5,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Sleep Apnea,0.0,30.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Chronic Migraines,10.0,57.0,20.9,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Shoulder Impingement,40.0,369.0,6.3,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Insomnia,30.0,102.0,24.1,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Bulimia,80.0,528.0,10.5,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Low Back Pain,47.0,652.0,7.7,Worse,32.88506,-117.222
Tri-City Medical Center,IMI,Chronic Knee Pain,3.0,147.0,2.3,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Chronic Migraines,4.0,15.0,38.9,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Mild Asthma,5.0,193.0,2.6,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Scoliosis,,,,,33.18394,-117.29
Tri-City Medical Center,IMI,Hypertension,1.0,139.0,2.6,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Osteoarthritis,10.0,411.0,2.1,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,ACL Tear,4.0,186.0,1.8,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Sleep Apnea,0.0,50.0,0.0,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Shoulder Impingement,15.0,284.0,5.3,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Insomnia,16.0,65.0,25.0,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Bulimia,35.0,364.0,10.6,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Low Back Pain,12.0,274.0,5.1,As Expected,33.18394,-117.29
Tri-City Medical Center,CABG,Early Stage Skin Cancer,1.0,53.0,2.06,As Expected,33.18,-117.29
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Chronic Knee Pain,1.0,141.0,0.5,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Mild Asthma,6.0,286.0,2.4,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Scoliosis,0.0,82.0,0.0,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Hypertension,13.0,360.0,3.4,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Osteoarthritis,35.0,900.0,4.2,Worse,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,ACL Tear,10.0,474.0,1.8,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Sleep Apnea,0.0,16.0,0.0,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Chronic Migraines,6.0,47.0,11.5,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Shoulder Impingement,11.0,319.0,2.0,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Insomnia,18.0,108.0,15.6,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Bulimia,35.0,474.0,5.0,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Low Back Pain,26.0,408.0,6.1,As Expected,32.75387,-117.164
Sharp Chula Vista Medical Center,CABG,Early Stage Skin Cancer,5.0,86.0,6.23,As Expected,32.62,-117.02
Sharp Chula Vista Medical Center,IMI,Chronic Knee Pain,4.0,103.0,4.6,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Chronic Migraines,3.0,15.0,26.6,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Mild Asthma,5.0,312.0,1.3,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Scoliosis,,,,,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Hypertension,8.0,324.0,2.3,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Osteoarthritis,23.0,817.0,2.7,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,ACL Tear,9.0,294.0,3.1,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Sleep Apnea,0.0,15.0,0.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Shoulder Impingement,15.0,251.0,5.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Insomnia,15.0,69.0,19.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Bulimia,33.0,335.0,8.7,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Low Back Pain,13.0,243.0,5.2,As Expected,32.61909,-117.024
Palomar Medical Center Poway,IMI,Chronic Knee Pain,0.0,93.0,0.0,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Chronic Migraines,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Mild Asthma,5.0,112.0,2.5,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Scoliosis,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Hypertension,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Osteoarthritis,9.0,223.0,2.0,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,ACL Tear,9.0,132.0,4.1,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Sleep Apnea,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Shoulder Impingement,1.0,68.0,0.8,Better,32.99563,-117.057
Palomar Medical Center Poway,IMI,Insomnia,3.0,6.0,19.1,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Bulimia,4.0,74.0,3.7,Better,32.99563,-117.057
Palomar Medical Center Poway,IMI,Low Back Pain,4.0,28.0,5.4,As Expected,32.99563,-117.057
Scripps Green Hospital,CABG,Early Stage Skin Cancer,,,,,32.9,-117.24
Scripps Green Hospital,IMI,Chronic Knee Pain,0.0,87.0,0.0,Better,32.89654,-117.241
Scripps Green Hospital,IMI,Mild Asthma,7.0,195.0,2.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Scoliosis,0.0,22.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Hypertension,,,,,32.89654,-117.241
Scripps Green Hospital,IMI,Osteoarthritis,0.0,64.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,ACL Tear,4.0,181.0,2.5,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Sleep Apnea,0.0,19.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Chronic Migraines,0.0,10.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Shoulder Impingement,1.0,68.0,1.2,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Insomnia,0.0,35.0,0.0,Better,32.89654,-117.241
Scripps Green Hospital,IMI,Bulimia,1.0,113.0,1.0,Better,32.89654,-117.241
Scripps Green Hospital,IMI,Low Back Pain,0.0,6.0,0.0,As Expected,32.89654,-117.241
Scripps Memorial Hospital – Encinitas,IMI,Chronic Knee Pain,2.0,191.0,0.6,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Chronic Migraines,0.0,3.0,0.0,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Mild Asthma,7.0,314.0,1.4,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Scoliosis,,,,,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Hypertension,4.0,171.0,3.2,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Osteoarthritis,13.0,431.0,1.8,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,ACL Tear,6.0,254.0,2.3,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Sleep Apnea,0.0,22.0,0.0,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Shoulder Impingement,6.0,187.0,3.1,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Insomnia,9.0,39.0,18.4,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Bulimia,15.0,229.0,6.4,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Low Back Pain,15.0,223.0,5.9,As Expected,33.0363,-117.284
UC San Diego Health La Jolla – Jacobs Medical Center & Sulpizio Cardiovascular Center,CABG,Early Stage Skin Cancer,2.0,137.0,1.25,As Expected,32.88,-117.23
Alvarado Hospital Medical Center,CABG,Early Stage Skin Cancer,3.0,24.0,10.13,As Expected,32.78,-117.06
Alvarado Hospital Medical Center,IMI,Chronic Knee Pain,0.0,22.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Mild Asthma,2.0,82.0,1.6,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Scoliosis,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Hypertension,3.0,124.0,2.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Osteoarthritis,1.0,196.0,0.7,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,ACL Tear,2.0,104.0,0.9,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Sleep Apnea,0.0,6.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Chronic Migraines,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Shoulder Impingement,0.0,64.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Insomnia,1.0,13.0,6.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Bulimia,1.0,78.0,1.6,Better,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Low Back Pain,9.0,180.0,3.5,As Expected,32.77664,-117.057
Sharp Coronado Hospital and Healthcare Center,IMI,Chronic Knee Pain,1.0,17.0,6.3,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Chronic Migraines,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Mild Asthma,3.0,38.0,5.3,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Scoliosis,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Hypertension,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Osteoarthritis,3.0,42.0,7.5,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,ACL Tear,3.0,47.0,4.2,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Sleep Apnea,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Shoulder Impingement,0.0,25.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Insomnia,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Bulimia,0.0,25.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Low Back Pain,0.0,5.0,0.0,As Expected,32.69427,-117.168
Sharp Memorial Hospital,IMI,Chronic Knee Pain,5.0,311.0,1.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Chronic Migraines,2.0,14.0,13.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Mild Asthma,8.0,466.0,1.4,Better,32.80016,-117.155
Sharp Memorial Hospital,IMI,Scoliosis,1.0,21.0,4.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Hypertension,15.0,332.0,5.1,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Osteoarthritis,23.0,924.0,2.2,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,ACL Tear,7.0,408.0,1.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Sleep Apnea,0.0,22.0,0.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Shoulder Impingement,18.0,418.0,4.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Insomnia,18.0,75.0,21.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Bulimia,38.0,507.0,7.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Low Back Pain,26.0,380.0,6.8,As Expected,32.80016,-117.155
Sharp Memorial Hospital,CABG,Early Stage Skin Cancer,2.0,83.0,3.5,As Expected,32.8,-117.16
Grossmont Hospital,CABG,Early Stage Skin Cancer,1.0,71.0,1.09,As Expected,32.78,-117.01
Grossmont Hospital,IMI,Chronic Migraines,8.0,25.0,25.7,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Chronic Knee Pain,6.0,202.0,1.8,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Mild Asthma,18.0,536.0,2.9,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Scoliosis,0.0,14.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Hypertension,15.0,449.0,3.6,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Osteoarthritis,11.0,1025.0,1.3,Better,32.77963,-117.009
Grossmont Hospital,IMI,ACL Tear,22.0,494.0,3.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Sleep Apnea,1.0,59.0,2.3,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Shoulder Impingement,27.0,595.0,3.5,Better,32.77963,-117.009
Grossmont Hospital,IMI,Insomnia,34.0,120.0,22.4,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Bulimia,69.0,740.0,8.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Low Back Pain,22.0,375.0,6.9,As Expected,32.77963,-117.009
Kaiser Foundation Hospital – San Diego – Zion,IMI,Chronic Migraines,4.0,32.0,29.2,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Chronic Knee Pain,6.0,417.0,1.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Mild Asthma,19.0,268.0,4.7,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Scoliosis,0.0,24.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Hypertension,,,,,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Osteoarthritis,41.0,939.0,3.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,ACL Tear,5.0,363.0,1.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Sleep Apnea,0.0,42.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Shoulder Impingement,20.0,372.0,4.1,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Insomnia,21.0,96.0,22.9,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Bulimia,45.0,500.0,8.7,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Low Back Pain,11.0,132.0,4.3,As Expected,32.79287,-117.094
Scripps Mercy Hospital,CABG,Early Stage Skin Cancer,6.0,84.0,10.32,Worse,32.75,-117.16
Scripps Mercy Hospital,IMI,Chronic Knee Pain,6.0,296.0,1.6,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Mild Asthma,7.0,490.0,1.3,Better,32.75128,-117.16
Scripps Mercy Hospital,IMI,Scoliosis,1.0,8.0,3.2,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Hypertension,10.0,285.0,4.1,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Osteoarthritis,22.0,1163.0,1.6,Better,32.75128,-117.16
