Hospital,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Latitude,Longitude
Sharp Coronado Hospital and Healthcare Center,IMI,Heart Failure,4.0,55.0,5.7,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,GI Hemorrhage,2.0,70.0,3.1,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Carotid Endarterectomy,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke Ischemic,2.0,17.0,11.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke Hemorrhagic,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke,4.0,19.0,21.8,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,AMI,0.0,8.0,0.0,As Expected,32.69427,-117.168
Sharp Memorial Hospital,IMI,Acute Stroke Subarachnoid,2.0,16.0,14.6,As Expected,32.80016,-117.155
Sharp Memorial Hospital,CABG,Isolated CABG Operative Mor,1.0,71.0,2.42,As Expected,32.8,-117.16
Sharp Memorial Hospital,IMI,Hip Fracture,5.0,259.0,1.2,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Pneumonia,11.0,476.0,1.8,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Pancreatic Resection,2.0,19.0,7.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,PCI,9.0,291.0,3.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Heart Failure,23.0,813.0,2.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,GI Hemorrhage,9.0,373.0,2.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Carotid Endarterectomy,1.0,32.0,1.7,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke Ischemic,10.0,394.0,2.8,Better,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke Hemorrhagic,16.0,75.0,22.7,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke,28.0,485.0,7.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,AMI,14.0,320.0,4.4,As Expected,32.80016,-117.155
Grossmont Hospital,CABG,Isolated CABG Operative Mor,3.0,77.0,2.41,As Expected,32.78,-117.01
Grossmont Hospital,IMI,Acute Stroke Subarachnoid,6.0,19.0,34.2,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Hip Fracture,8.0,197.0,4.7,Worse,32.77963,-117.009
Grossmont Hospital,IMI,Pneumonia,8.0,425.0,1.6,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Pancreatic Resection,0.0,16.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,PCI,22.0,447.0,4.1,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Heart Failure,11.0,897.0,1.5,Better,32.77963,-117.009
Grossmont Hospital,IMI,GI Hemorrhage,14.0,530.0,2.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Carotid Endarterectomy,0.0,59.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke Ischemic,28.0,537.0,3.6,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke Hemorrhagic,23.0,82.0,23.4,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke,57.0,638.0,8.1,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,AMI,24.0,384.0,5.7,As Expected,32.77963,-117.009
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke Subarachnoid,3.0,24.0,10.1,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Hip Fracture,5.0,400.0,1.8,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Pneumonia,9.0,227.0,3.6,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Pancreatic Resection,1.0,23.0,5.4,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,PCI,,,,,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Heart Failure,29.0,860.0,2.7,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,GI Hemorrhage,12.0,357.0,2.7,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Carotid Endarterectomy,0.0,53.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke Ischemic,20.0,345.0,5.2,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke Hemorrhagic,17.0,122.0,20.1,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke,40.0,491.0,8.2,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,AMI,7.0,126.0,3.3,As Expected,32.79287,-117.094
Scripps Mercy Hospital,CABG,Isolated CABG Operative Mor,3.0,102.0,3.41,As Expected,32.75,-117.16
Scripps Mercy Hospital,IMI,Hip Fracture,8.0,270.0,2.7,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Pneumonia,10.0,648.0,1.2,Better,32.75128,-117.16
Scripps Mercy Hospital,IMI,Pancreatic Resection,0.0,7.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,PCI,13.0,291.0,5.7,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Heart Failure,19.0,1029.0,1.6,Better,32.75128,-117.16
Scripps Mercy Hospital,IMI,GI Hemorrhage,16.0,563.0,3.2,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Carotid Endarterectomy,0.0,35.0,0.0,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke Subarachnoid,5.0,8.0,36.5,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke Ischemic,12.0,407.0,3.3,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke Hemorrhagic,28.0,105.0,23.3,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,Acute Stroke,45.0,520.0,8.7,As Expected,32.75128,-117.16
Scripps Mercy Hospital,IMI,AMI,32.0,443.0,7.6,As Expected,32.75128,-117.16
Palomar Health Downtown Campus,CABG,Isolated CABG Operative Mor,4.0,121.0,1.8,As Expected,33.13,-117.08
Palomar Health Downtown Campus,IMI,Acute Stroke Subarachnoid,5.0,28.0,13.7,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Hip Fracture,7.0,248.0,2.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Pneumonia,6.0,403.0,1.3,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Pancreatic Resection,,,,,33.12586,-117.076
Palomar Health Downtown Campus,IMI,PCI,14.0,340.0,4.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Heart Failure,32.0,811.0,2.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,GI Hemorrhage,7.0,398.0,1.7,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Carotid Endarterectomy,0.0,51.0,0.0,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke Ischemic,23.0,438.0,2.5,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke Hemorrhagic,25.0,107.0,20.6,As Expected,33.12586,-117.076
Palomar Health Downtown Campus,IMI,Acute Stroke,53.0,573.0,6.0,Better,33.12586,-117.076
Palomar Health Downtown Campus,IMI,AMI,40.0,503.0,6.2,As Expected,33.12586,-117.076
Paradise Valley Hospital,IMI,Acute Stroke Subarachnoid,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Hip Fracture,0.0,24.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Pneumonia,0.0,55.0,0.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Pancreatic Resection,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,PCI,1.0,49.0,1.9,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Heart Failure,6.0,326.0,2.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,GI Hemorrhage,2.0,110.0,1.6,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Carotid Endarterectomy,,,,,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke Ischemic,2.0,83.0,4.2,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke Hemorrhagic,2.0,19.0,10.9,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,Acute Stroke,5.0,103.0,7.0,As Expected,32.68632,-117.083
Paradise Valley Hospital,IMI,AMI,1.0,80.0,1.0,Better,32.68632,-117.083
Scripps Memorial Hospital – La Jolla,CABG,Isolated CABG Operative Mor,6.0,328.0,2.78,As Expected,32.89,-117.22
Scripps Memorial Hospital – La Jolla,IMI,Hip Fracture,4.0,186.0,1.4,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Pneumonia,15.0,316.0,2.3,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Pancreatic Resection,0.0,6.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,PCI,36.0,739.0,4.8,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Heart Failure,8.0,755.0,0.6,Better,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,GI Hemorrhage,5.0,250.0,1.5,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Carotid Endarterectomy,0.0,30.0,0.0,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Acute Stroke Subarachnoid,10.0,57.0,20.9,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Acute Stroke Ischemic,40.0,369.0,6.3,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Acute Stroke Hemorrhagic,30.0,102.0,24.1,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,Acute Stroke,80.0,528.0,10.5,As Expected,32.88506,-117.222
Scripps Memorial Hospital – La Jolla,IMI,AMI,47.0,652.0,7.7,Worse,32.88506,-117.222
Tri-City Medical Center,IMI,Hip Fracture,3.0,147.0,2.3,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Acute Stroke Subarachnoid,4.0,15.0,38.9,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Pneumonia,5.0,193.0,2.6,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Pancreatic Resection,,,,,33.18394,-117.29
Tri-City Medical Center,IMI,PCI,1.0,139.0,2.6,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Heart Failure,10.0,411.0,2.1,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,GI Hemorrhage,4.0,186.0,1.8,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Carotid Endarterectomy,0.0,50.0,0.0,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Acute Stroke Ischemic,15.0,284.0,5.3,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Acute Stroke Hemorrhagic,16.0,65.0,25.0,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,Acute Stroke,35.0,364.0,10.6,As Expected,33.18394,-117.29
Tri-City Medical Center,IMI,AMI,12.0,274.0,5.1,As Expected,33.18394,-117.29
Tri-City Medical Center,CABG,Isolated CABG Operative Mor,1.0,53.0,2.06,As Expected,33.18,-117.29
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Hip Fracture,1.0,141.0,0.5,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Pneumonia,6.0,286.0,2.4,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Pancreatic Resection,0.0,82.0,0.0,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,PCI,13.0,360.0,3.4,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Heart Failure,35.0,900.0,4.2,Worse,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,GI Hemorrhage,10.0,474.0,1.8,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Carotid Endarterectomy,0.0,16.0,0.0,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Acute Stroke Subarachnoid,6.0,47.0,11.5,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Acute Stroke Ischemic,11.0,319.0,2.0,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Acute Stroke Hemorrhagic,18.0,108.0,15.6,As Expected,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,Acute Stroke,35.0,474.0,5.0,Better,32.75387,-117.164
UC San Diego Health Hillcrest – Hillcrest Medical Center,IMI,AMI,26.0,408.0,6.1,As Expected,32.75387,-117.164
Sharp Chula Vista Medical Center,CABG,Isolated CABG Operative Mor,5.0,86.0,6.23,As Expected,32.62,-117.02
Sharp Chula Vista Medical Center,IMI,Hip Fracture,4.0,103.0,4.6,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Acute Stroke Subarachnoid,3.0,15.0,26.6,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Pneumonia,5.0,312.0,1.3,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Pancreatic Resection,,,,,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,PCI,8.0,324.0,2.3,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Heart Failure,23.0,817.0,2.7,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,GI Hemorrhage,9.0,294.0,3.1,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Carotid Endarterectomy,0.0,15.0,0.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Acute Stroke Ischemic,15.0,251.0,5.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Acute Stroke Hemorrhagic,15.0,69.0,19.0,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,Acute Stroke,33.0,335.0,8.7,As Expected,32.61909,-117.024
Sharp Chula Vista Medical Center,IMI,AMI,13.0,243.0,5.2,As Expected,32.61909,-117.024
Palomar Medical Center Poway,IMI,Hip Fracture,0.0,93.0,0.0,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Acute Stroke Subarachnoid,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Pneumonia,5.0,112.0,2.5,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Pancreatic Resection,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,PCI,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Heart Failure,9.0,223.0,2.0,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,GI Hemorrhage,9.0,132.0,4.1,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Carotid Endarterectomy,,,,,32.99563,-117.057
Palomar Medical Center Poway,IMI,Acute Stroke Ischemic,1.0,68.0,0.8,Better,32.99563,-117.057
Palomar Medical Center Poway,IMI,Acute Stroke Hemorrhagic,3.0,6.0,19.1,As Expected,32.99563,-117.057
Palomar Medical Center Poway,IMI,Acute Stroke,4.0,74.0,3.7,Better,32.99563,-117.057
Palomar Medical Center Poway,IMI,AMI,4.0,28.0,5.4,As Expected,32.99563,-117.057
Scripps Green Hospital,CABG,Isolated CABG Operative Mor,,,,,32.9,-117.24
Scripps Green Hospital,IMI,Hip Fracture,0.0,87.0,0.0,Better,32.89654,-117.241
Scripps Green Hospital,IMI,Pneumonia,7.0,195.0,2.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Pancreatic Resection,0.0,22.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,PCI,,,,,32.89654,-117.241
Scripps Green Hospital,IMI,Heart Failure,0.0,64.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,GI Hemorrhage,4.0,181.0,2.5,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Carotid Endarterectomy,0.0,19.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Acute Stroke Subarachnoid,0.0,10.0,0.0,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Acute Stroke Ischemic,1.0,68.0,1.2,As Expected,32.89654,-117.241
Scripps Green Hospital,IMI,Acute Stroke Hemorrhagic,0.0,35.0,0.0,Better,32.89654,-117.241
Scripps Green Hospital,IMI,Acute Stroke,1.0,113.0,1.0,Better,32.89654,-117.241
Scripps Green Hospital,IMI,AMI,0.0,6.0,0.0,As Expected,32.89654,-117.241
Scripps Memorial Hospital – Encinitas,IMI,Hip Fracture,2.0,191.0,0.6,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Acute Stroke Subarachnoid,0.0,3.0,0.0,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Pneumonia,7.0,314.0,1.4,Better,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Pancreatic Resection,,,,,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,PCI,4.0,171.0,3.2,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Heart Failure,13.0,431.0,1.8,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,GI Hemorrhage,6.0,254.0,2.3,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Carotid Endarterectomy,0.0,22.0,0.0,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Acute Stroke Ischemic,6.0,187.0,3.1,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Acute Stroke Hemorrhagic,9.0,39.0,18.4,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,Acute Stroke,15.0,229.0,6.4,As Expected,33.0363,-117.284
Scripps Memorial Hospital – Encinitas,IMI,AMI,15.0,223.0,5.9,As Expected,33.0363,-117.284
UC San Diego Health La Jolla – Jacobs Medical Center & Sulpizio Cardiovascular Center,CABG,Isolated CABG Operative Mor,2.0,137.0,1.25,As Expected,32.88,-117.23
Alvarado Hospital Medical Center,CABG,Isolated CABG Operative Mor,3.0,24.0,10.13,As Expected,32.78,-117.06
Alvarado Hospital Medical Center,IMI,Hip Fracture,0.0,22.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Pneumonia,2.0,82.0,1.6,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Pancreatic Resection,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,PCI,3.0,124.0,2.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Heart Failure,1.0,196.0,0.7,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,GI Hemorrhage,2.0,104.0,0.9,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Carotid Endarterectomy,0.0,6.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke Subarachnoid,,,,,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke Ischemic,0.0,64.0,0.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke Hemorrhagic,1.0,13.0,6.0,As Expected,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,Acute Stroke,1.0,78.0,1.6,Better,32.77664,-117.057
Alvarado Hospital Medical Center,IMI,AMI,9.0,180.0,3.5,As Expected,32.77664,-117.057
Sharp Coronado Hospital and Healthcare Center,IMI,Hip Fracture,1.0,17.0,6.3,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke Subarachnoid,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Pneumonia,3.0,38.0,5.3,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Pancreatic Resection,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,PCI,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Heart Failure,3.0,42.0,7.5,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,GI Hemorrhage,3.0,47.0,4.2,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Carotid Endarterectomy,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke Ischemic,0.0,25.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke Hemorrhagic,,,,,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,Acute Stroke,0.0,25.0,0.0,As Expected,32.69427,-117.168
Sharp Coronado Hospital and Healthcare Center,IMI,AMI,0.0,5.0,0.0,As Expected,32.69427,-117.168
Sharp Memorial Hospital,IMI,Hip Fracture,5.0,311.0,1.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke Subarachnoid,2.0,14.0,13.3,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Pneumonia,8.0,466.0,1.4,Better,32.80016,-117.155
Sharp Memorial Hospital,IMI,Pancreatic Resection,1.0,21.0,4.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,PCI,15.0,332.0,5.1,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Heart Failure,23.0,924.0,2.2,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,GI Hemorrhage,7.0,408.0,1.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Carotid Endarterectomy,0.0,22.0,0.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke Ischemic,18.0,418.0,4.0,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke Hemorrhagic,18.0,75.0,21.5,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,Acute Stroke,38.0,507.0,7.9,As Expected,32.80016,-117.155
Sharp Memorial Hospital,IMI,AMI,26.0,380.0,6.8,As Expected,32.80016,-117.155
Sharp Memorial Hospital,CABG,Isolated CABG Operative Mor,2.0,83.0,3.5,As Expected,32.8,-117.16
Grossmont Hospital,CABG,Isolated CABG Operative Mor,1.0,71.0,1.09,As Expected,32.78,-117.01
Grossmont Hospital,IMI,Acute Stroke Subarachnoid,8.0,25.0,25.7,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Hip Fracture,6.0,202.0,1.8,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Pneumonia,18.0,536.0,2.9,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Pancreatic Resection,0.0,14.0,0.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,PCI,15.0,449.0,3.6,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Heart Failure,11.0,1025.0,1.3,Better,32.77963,-117.009
Grossmont Hospital,IMI,GI Hemorrhage,22.0,494.0,3.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Carotid Endarterectomy,1.0,59.0,2.3,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke Ischemic,27.0,595.0,3.5,Better,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke Hemorrhagic,34.0,120.0,22.4,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,Acute Stroke,69.0,740.0,8.0,As Expected,32.77963,-117.009
Grossmont Hospital,IMI,AMI,22.0,375.0,6.9,As Expected,32.77963,-117.009
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke Subarachnoid,4.0,32.0,29.2,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Hip Fracture,6.0,417.0,1.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Pneumonia,19.0,268.0,4.7,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Pancreatic Resection,0.0,24.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,PCI,,,,,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Heart Failure,41.0,939.0,3.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,GI Hemorrhage,5.0,363.0,1.3,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Carotid Endarterectomy,0.0,42.0,0.0,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke Ischemic,20.0,372.0,4.1,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke Hemorrhagic,21.0,96.0,22.9,As Expected,32.79287,-117.094
Kaiser Foundation Hospital – San Diego – Zion,IMI,Acute Stroke,45.0,500.0,8.7,As Expected,32.79287,-117.094
